"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-27","6.04","0.08","0.0","0.0",,"88","74","25.1",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-28","8.95","0.00","0.0","0.0",,"90","76","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-29","8.72","0.07","0.0","0.0",,"92","75","25.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-30","12.53","0.00","0.0","0.0",,"93","80","25.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-01","8.95","0.00","0.0","0.0",,"94","80","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-02","8.95","0.00","0.0","0.0",,"94","78","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-03","8.72","0.00","0.0","0.0",,"94","78","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-04","8.72","0.00","0.0","0.0",,"95","79","23.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-05","7.16","0.00","0.0","0.0",,"95","75","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-06","6.49","0.00","0.0","0.0",,"96","77","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-07","4.25","0.00","0.0","0.0",,"95","75","19.9",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-08","5.14","0.00","0.0","0.0",,"97","75","19.9","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-09","6.93","0.17","0.0","0.0",,"96","73","34.0","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-10","5.59","0.00","0.0","0.0",,"91","74","23.9",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-11","6.71","0.00","0.0","0.0",,"96","77","28.0",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-12","6.26","0.44","0.0","0.0",,"93","75","30.0",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-13","5.59","0.00","0.0","0.0",,"95","75","21.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-07-14","4.03","0.00","0.0","0.0",,"97","75","21.0",,,,,
