"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-13","1.12","0.00",,,"81","50","8.9","13.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-14","3.36","0.00",,,"74","53","10.1","18.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-15","1.34","0.00",,,"76","49","8.1","14.1","    1",,,,,,,"    1",,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-16","3.80","0.00",,,"87","51","13.0","18.1","    1",,,,,,,"    1",,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-17","6.71","0.00",,,"87","60","21.0","30.0",,,,,,,,"    1",,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-18","3.36","0.00",,,"75","54","12.1","19.9",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-19","2.01","0.00",,,"73","46","8.9","13.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-20","2.01","0.02",,,"76","50","13.0","18.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-21","4.70","0.10",,,"74","55","16.1","21.0","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-22","2.46","0.00",,,"79","50","14.1","28.0","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-23","2.46","0.00",,,"88","55","14.1","23.9",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-24","2.68","0.18",,,"74","63","13.0","18.1","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-25","7.83","0.24",,,"82","65","18.1","25.1","    1",,"    1",,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-26","10.96","0.00",,,"78","61","23.9","35.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-27","10.07","0.00",,,"74","57","29.1","40.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-28","4.03","0.00",,,"71","49","14.1","31.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-29","1.79","0.00",,,"77","45","12.1","16.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-30","3.58","0.00",,,"86","52","13.0","23.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-01","3.13","0.00",,,"87","67","12.1","25.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-02","6.04","0.00",,,"93","72","15.0","23.0","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-03","5.14","0.15",,,"82","70","16.1","23.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-04","0.67","0.00",,,"81","65","6.9","14.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-05","1.34","0.00",,,"86","62","8.9","25.9","    1","    1",,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-06","3.13","0.00",,,"90","66","12.1","23.9","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-07","4.25","0.00",,,"94","65","14.1","19.9","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-08","9.40","0.00",,,"92","68","21.9","30.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-09","3.36","0.00",,,"75","54","10.1","17.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-10","2.24","0.00",,,"74","53","10.1","18.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-11","2.91","0.00",,,"76","62","10.1","18.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-12","4.03","0.00",,,"86","62","13.0","18.1","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-13","2.91","0.00",,,"91","66","10.1","16.1",,,,,,,,"    1",,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-14","3.58","0.00",,,"89","68","12.1","17.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-15","3.36","0.00",,,"92","68","10.1","14.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-16","2.68","0.99",,,"89","69","29.1","53.9",,,"    1",,,,,"    1",,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-17","3.36","1.22",,,"80","68","17.0","23.0","    1",,"    1",,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-18","1.34","0.00",,,"83","63","15.0","25.9","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-19","3.36","0.00",,,"87","64","13.0","23.9","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-20","2.46","0.00",,,"84","64","10.1","15.0","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-21","2.91","0.00",,,"85","65","12.1","15.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-22","1.79","0.00",,,"85","68","8.9","14.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-23","2.46","0.00",,,"91","71","8.9","19.9",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-24","3.58","0.11",,,"82","68","12.1","21.0","    1",,"    1",,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-25","3.36","0.01",,,"82","67","12.1","19.9",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-26","2.01","0.00",,,"86","68","8.9","16.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-27","1.34","0.00",,,"93","63","8.9","14.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-28","2.91","0.00",,,"92","67","12.1","16.1",,,"    1",,,,,"    1",,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-29","2.01","0.45",,,"89","70","13.0","18.1","    1",,"    1",,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-05-30","0.89","0.27",,,"86","69","14.1","17.0","    1","    1","    1",,,,,,,,,,,,,,
