"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-09","5.37","0.00","83","61","15.0","21.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-10","4.25","0.00","86","59","10.1","15.0",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-11","4.70","0.01","87","56","14.1","17.0","    1","    1","    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-12","5.14","0.09","83","66","13.0","19.9","    1",,"    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-13","2.46","0.89","82","64","19.9","23.9","    1","    1","    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-14","2.01","0.00","85","60","8.9","14.1","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-15","5.82","0.11","90","65","36.0","59.1","    1",,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-16","7.38","0.00","86","61","17.0","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-17","9.17","0.00","89","59","21.0","25.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-18","6.49","0.00","88","58","28.0","38.9",,,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-19","5.82","0.62","83","64","29.1","36.0","    1",,"    1",,
